0,12,36030446843215872
1,11,18014535953158144
2,11,72075323675576576
3,11,648527281165176832
4,11,36031545932252160
5,11,2450002194952358400
6,11,72093336756027648
7,12,1224996974317635840
8,11,12249931724498157569
9,10,54113576620675072
10,10,140943648882820
11,10,2596465991395317764
12,10,1162350933508096640
13,10,9147945350594688
14,10,9236039037872046084
15,11,23362424283468032
16,11,2342013093613158400
17,10,13528667019812864
18,10,2306830920948133888
19,10,18155685888200704
20,10,2459252369364371456
21,10,2307110197203567616
22,10,146380183237173520
23,11,18086966423748868
24,11,1261010370638782468
25,10,316660422561800
26,10,7066150566272958480
27,10,281513636659232
28,10,576469550552321024
29,10,289921427191104512
30,10,19877109696513
31,11,283957467840772
32,11,2305878468472079504
33,10,1589771355669151753
34,10,792777707887792128
35,10,1729461423936901120
36,10,9223521572592028672
37,10,1266645993522176
38,10,9295711123066069504
39,11,1508708353465909380
40,11,4611756387716923392
41,10,148619200041598976
42,10,10520708906412605504
43,10,9097360288382984
44,10,9387754523034451989
45,10,2323861805803274368
46,10,1153204663480483906
47,11,4785626306183173
48,11,70370891669888
49,10,144257300371079296
50,10,13581718221513216
51,10,2269393476157568
52,10,853225344337152
53,10,1153625750399352960
54,10,11529356079909699712
55,11,36033199370682880
56,12,4644338191569153
57,11,4720053963953586179
58,11,18297110443594049
59,11,80265241165857
60,11,576742948835034129
61,11,288511868308424715
62,11,4755810011456766228
63,12,215505370123810
